split_percentage,run,epoch,loss,train,valid,test,key
20, 01,01,1.3864,0.00,0.00,0.01,Hits@10
20, 01,01,1.3864,0.01,0.01,0.01,Hits@20
20, 01,01,1.3864,0.01,0.01,0.01,Hits@30
20, 01,02,1.3862,0.02,0.01,0.01,Hits@10
20, 01,02,1.3862,0.07,0.03,0.02,Hits@20
20, 01,02,1.3862,0.13,0.07,0.02,Hits@30
20, 01,03,1.3844,1.22,0.82,0.27,Hits@10
20, 01,03,1.3844,2.09,1.43,0.57,Hits@20
20, 01,03,1.3844,2.82,2.00,0.87,Hits@30
20, 01,04,1.3674,2.25,1.59,1.36,Hits@10
20, 01,04,1.3674,2.99,2.19,1.78,Hits@20
20, 01,04,1.3674,3.53,2.67,2.79,Hits@30
20, 01,05,1.2998,2.20,1.61,1.66,Hits@10
20, 01,05,1.2998,2.86,2.14,2.26,Hits@20
20, 01,05,1.2998,3.57,2.79,3.36,Hits@30
20, 01,06,1.2367,2.10,1.62,1.80,Hits@10
20, 01,06,1.2367,2.86,2.26,2.96,Hits@20
20, 01,06,1.2367,3.53,2.84,3.95,Hits@30
20, 01,07,1.1735,2.09,1.69,2.48,Hits@10
20, 01,07,1.1735,2.75,2.28,3.54,Hits@20
20, 01,07,1.1735,3.40,2.82,4.63,Hits@30
20, 01,08,1.1005,2.23,1.92,3.47,Hits@10
20, 01,08,1.1005,2.78,2.42,4.31,Hits@20
20, 01,08,1.1005,3.49,3.04,4.91,Hits@30
20, 01,09,1.0441,2.29,2.04,3.95,Hits@10
20, 01,09,1.0441,3.16,2.81,4.64,Hits@20
20, 01,09,1.0441,3.70,3.27,5.62,Hits@30
20, 01,10,0.9868,0.21,0.16,0.25,Hits@10
20, 01,10,0.9868,2.15,1.97,2.74,Hits@20
20, 01,10,0.9868,2.83,2.57,4.49,Hits@30
20, 01,11,0.9474,0.02,0.02,0.02,Hits@10
20, 01,11,0.9474,1.47,1.26,0.92,Hits@20
20, 01,11,0.9474,2.39,2.12,3.73,Hits@30
20, 01,12,0.9050,0.66,0.53,0.16,Hits@10
20, 01,12,0.9050,2.17,1.81,2.83,Hits@20
20, 01,12,0.9050,2.73,2.34,3.69,Hits@30
20, 01,13,0.8730,0.01,0.02,0.02,Hits@10
20, 01,13,0.8730,1.25,0.97,0.11,Hits@20
20, 01,13,0.8730,2.14,1.73,1.91,Hits@30
20, 01,14,0.8402,0.01,0.01,0.02,Hits@10
20, 01,14,0.8402,0.08,0.06,0.03,Hits@20
20, 01,14,0.8402,0.56,0.40,0.08,Hits@30
20, 01,15,0.8154,0.50,0.31,0.02,Hits@10
20, 01,15,0.8154,1.88,1.38,0.13,Hits@20
20, 01,15,0.8154,2.67,2.00,1.72,Hits@30
20, 01,16,0.8008,1.87,1.30,0.14,Hits@10
20, 01,16,0.8008,2.55,1.83,1.32,Hits@20
20, 01,16,0.8008,3.08,2.29,1.97,Hits@30
20, 01,17,0.7885,2.12,1.48,1.65,Hits@10
20, 01,17,0.7885,2.95,2.15,2.34,Hits@20
20, 01,17,0.7885,3.55,2.66,3.30,Hits@30
20, 01,18,0.7858,4.80,4.07,1.81,Hits@10
20, 01,18,0.7858,5.79,4.97,2.56,Hits@20
20, 01,18,0.7858,6.50,5.61,3.15,Hits@30
20, 01,19,0.7837,2.68,1.86,1.90,Hits@10
20, 01,19,0.7837,4.52,3.65,3.00,Hits@20
20, 01,19,0.7837,5.61,4.69,4.14,Hits@30
20, 01,20,0.7751,2.33,1.67,1.59,Hits@10
20, 01,20,0.7751,3.02,2.26,2.51,Hits@20
20, 01,20,0.7751,3.79,2.91,3.48,Hits@30
20, 01,21,0.7742,4.06,3.35,2.20,Hits@10
20, 01,21,0.7742,5.41,4.69,2.89,Hits@20
20, 01,21,0.7742,6.83,6.08,3.42,Hits@30
20, 01,22,0.7709,4.02,3.36,1.76,Hits@10
20, 01,22,0.7709,5.94,5.35,2.31,Hits@20
20, 01,22,0.7709,7.20,6.52,3.08,Hits@30
20, 01,23,0.7681,2.16,1.55,1.54,Hits@10
20, 01,23,0.7681,3.25,2.42,2.29,Hits@20
20, 01,23,0.7681,4.04,3.17,2.85,Hits@30
20, 01,24,0.7674,2.21,1.83,0.89,Hits@10
20, 01,24,0.7674,4.38,3.81,2.13,Hits@20
20, 01,24,0.7674,5.96,5.34,2.99,Hits@30
20, 01,25,0.7664,2.24,1.84,0.97,Hits@10
20, 01,25,0.7664,4.99,4.47,2.10,Hits@20
20, 01,25,0.7664,6.16,5.58,2.92,Hits@30
20, 01,26,0.7670,2.16,1.63,1.06,Hits@10
20, 01,26,0.7670,3.32,2.65,1.84,Hits@20
20, 01,26,0.7670,4.04,3.31,2.60,Hits@30
20, 01,27,0.7636,3.58,3.42,1.11,Hits@10
20, 01,27,0.7636,6.44,5.86,1.68,Hits@20
20, 01,27,0.7636,7.29,6.58,2.79,Hits@30
20, 01,28,0.7642,2.26,1.57,1.29,Hits@10
20, 01,28,0.7642,3.22,2.40,2.18,Hits@20
20, 01,28,0.7642,4.09,3.23,3.19,Hits@30
20, 01,29,0.7640,4.10,3.90,1.40,Hits@10
20, 01,29,0.7640,6.78,6.12,2.11,Hits@20
20, 01,29,0.7640,7.49,6.73,2.71,Hits@30
20, 01,30,0.7611,1.85,1.29,1.30,Hits@10
20, 01,30,0.7611,3.42,2.52,2.43,Hits@20
20, 01,30,0.7611,5.01,4.16,3.36,Hits@30
20, 01,31,0.7595,2.03,1.46,1.12,Hits@10
20, 01,31,0.7595,3.19,2.35,2.14,Hits@20
20, 01,31,0.7595,3.85,2.93,3.14,Hits@30
20, 01,32,0.7580,1.94,1.42,1.19,Hits@10
20, 01,32,0.7580,3.96,3.08,2.28,Hits@20
20, 01,32,0.7580,5.51,4.62,3.38,Hits@30
20, 01,33,0.7582,2.19,1.65,1.18,Hits@10
20, 01,33,0.7582,5.41,4.85,2.35,Hits@20
20, 01,33,0.7582,6.50,5.85,3.22,Hits@30
20, 01,34,0.7565,1.50,1.07,0.78,Hits@10
20, 01,34,0.7565,2.85,2.12,2.01,Hits@20
20, 01,34,0.7565,3.81,2.88,3.36,Hits@30
20, 01,35,0.7594,1.10,0.82,0.95,Hits@10
20, 01,35,0.7594,4.39,3.81,2.38,Hits@20
20, 01,35,0.7594,5.73,5.11,3.26,Hits@30
20, 01,36,0.7578,3.92,3.99,1.09,Hits@10
20, 01,36,0.7578,5.22,4.94,1.49,Hits@20
20, 01,36,0.7578,6.74,6.09,2.03,Hits@30
20, 01,37,0.7583,1.42,1.01,0.97,Hits@10
20, 01,37,0.7583,2.87,2.10,1.92,Hits@20
20, 01,37,0.7583,3.45,2.60,2.67,Hits@30
20, 01,38,0.7573,3.92,3.93,0.91,Hits@10
20, 01,38,0.7573,5.89,5.47,2.59,Hits@20
20, 01,38,0.7573,7.17,6.48,3.36,Hits@30
20, 01,39,0.7615,4.11,4.26,1.12,Hits@10
20, 01,39,0.7615,4.34,4.39,1.14,Hits@20
20, 01,39,0.7615,4.42,4.42,1.15,Hits@30
20, 01,40,0.7776,4.12,4.24,1.12,Hits@10
20, 01,40,0.7776,4.33,4.38,1.14,Hits@20
20, 01,40,0.7776,4.44,4.43,1.15,Hits@30
20, 01,41,0.7742,4.08,4.23,1.12,Hits@10
20, 01,41,0.7742,5.23,4.96,2.25,Hits@20
20, 01,41,0.7742,6.74,6.14,3.07,Hits@30
20, 01,42,0.7651,3.86,3.93,1.14,Hits@10
20, 01,42,0.7651,5.87,5.51,2.53,Hits@20
20, 01,42,0.7651,6.84,6.32,3.54,Hits@30
20, 01,43,0.7511,4.16,3.94,0.90,Hits@10
20, 01,43,0.7511,6.09,5.52,2.70,Hits@20
20, 01,43,0.7511,6.77,6.06,3.42,Hits@30
20, 01,44,0.7418,1.62,1.11,0.60,Hits@10
20, 01,44,0.7418,2.67,1.93,1.26,Hits@20
20, 01,44,0.7418,3.35,2.50,2.63,Hits@30
20, 01,45,0.7547,4.08,4.25,1.12,Hits@10
20, 01,45,0.7547,5.32,5.01,1.23,Hits@20
20, 01,45,0.7547,6.01,5.53,1.54,Hits@30
20, 01,46,0.7641,4.08,4.23,1.12,Hits@10
20, 01,46,0.7641,5.08,4.82,1.42,Hits@20
20, 01,46,0.7641,5.76,5.35,1.79,Hits@30
20, 01,47,0.7441,0.75,0.44,0.37,Hits@10
20, 01,47,0.7441,1.29,0.87,0.61,Hits@20
20, 01,47,0.7441,1.62,1.12,0.95,Hits@30
20, 01,48,0.7529,0.00,0.00,1.14,Hits@10
20, 01,48,0.7529,4.70,4.58,1.30,Hits@20
20, 01,48,0.7529,5.02,4.79,1.45,Hits@30
20, 01,49,0.7437,4.10,4.24,1.18,Hits@10
20, 01,49,0.7437,4.84,4.67,1.36,Hits@20
20, 01,49,0.7437,5.54,5.18,1.54,Hits@30
20, 01,50,0.7257,0.88,0.48,0.30,Hits@10
20, 01,50,0.7257,2.08,1.36,0.90,Hits@20
20, 01,50,0.7257,2.89,2.03,1.62,Hits@30
20, 01,51,0.7249,4.06,4.21,1.17,Hits@10
20, 01,51,0.7249,5.20,4.85,1.30,Hits@20
20, 01,51,0.7249,6.21,5.58,1.86,Hits@30
20, 01,52,0.7013,3.99,3.96,1.12,Hits@10
20, 01,52,0.7013,5.05,4.76,1.31,Hits@20
20, 01,52,0.7013,5.91,5.33,1.69,Hits@30
20, 01,53,0.6788,4.08,4.23,1.20,Hits@10
20, 01,53,0.6788,4.89,4.69,1.38,Hits@20
20, 01,53,0.6788,5.49,5.08,1.50,Hits@30
20, 01,54,0.6905,4.86,4.60,1.27,Hits@10
20, 01,54,0.6905,6.22,5.82,2.85,Hits@20
20, 01,54,0.6905,7.54,6.96,3.56,Hits@30
20, 01,55,0.6673,2.94,2.32,1.42,Hits@10
20, 01,55,0.6673,4.42,3.66,3.01,Hits@20
20, 01,55,0.6673,5.03,4.22,4.14,Hits@30
20, 01,56,0.6636,5.30,5.05,1.36,Hits@10
20, 01,56,0.6636,7.05,6.52,3.49,Hits@20
20, 01,56,0.6636,7.93,7.36,4.53,Hits@30
20, 01,57,0.6575,5.42,5.16,0.98,Hits@10
20, 01,57,0.6575,8.97,8.45,2.10,Hits@20
20, 01,57,0.6575,12.18,11.30,5.86,Hits@30
20, 01,58,0.6464,4.49,3.63,1.08,Hits@10
20, 01,58,0.6464,7.29,6.20,3.11,Hits@20
20, 01,58,0.6464,8.37,7.28,4.40,Hits@30
20, 01,59,0.6392,6.26,5.77,1.52,Hits@10
20, 01,59,0.6392,9.09,8.19,1.85,Hits@20
20, 01,59,0.6392,10.41,9.47,3.11,Hits@30
20, 01,60,0.6366,5.88,5.03,1.62,Hits@10
20, 01,60,0.6366,8.11,7.15,2.55,Hits@20
20, 01,60,0.6366,10.06,9.13,3.48,Hits@30
20, 01,61,0.6351,5.38,4.34,2.75,Hits@10
20, 01,61,0.6351,7.63,6.53,4.06,Hits@20
20, 01,61,0.6351,10.33,9.24,5.35,Hits@30
20, 01,62,0.6332,10.16,9.75,3.56,Hits@10
20, 01,62,0.6332,12.61,12.22,5.00,Hits@20
20, 01,62,0.6332,13.85,13.41,7.46,Hits@30
20, 01,63,0.6326,7.36,6.49,2.66,Hits@10
20, 01,63,0.6326,10.08,9.40,4.15,Hits@20
20, 01,63,0.6326,11.99,11.21,6.23,Hits@30
20, 01,64,0.6321,9.46,8.98,2.43,Hits@10
20, 01,64,0.6321,11.28,10.78,4.37,Hits@20
20, 01,64,0.6321,12.65,12.17,5.61,Hits@30
20, 01,65,0.6272,5.68,4.79,2.32,Hits@10
20, 01,65,0.6272,8.02,7.09,3.40,Hits@20
20, 01,65,0.6272,10.58,9.65,5.22,Hits@30
20, 01,66,0.6265,8.13,7.66,1.94,Hits@10
20, 01,66,0.6265,10.13,9.64,2.84,Hits@20
20, 01,66,0.6265,11.79,11.31,4.28,Hits@30
20, 01,67,0.6249,6.53,5.55,1.65,Hits@10
20, 01,67,0.6249,8.09,7.20,2.41,Hits@20
20, 01,67,0.6249,9.94,9.14,3.44,Hits@30
20, 01,68,0.6234,6.61,5.96,1.47,Hits@10
20, 01,68,0.6234,8.97,8.46,2.16,Hits@20
20, 01,68,0.6234,11.23,10.71,2.86,Hits@30
20, 01,69,0.6206,4.88,4.08,1.14,Hits@10
20, 01,69,0.6206,8.17,7.53,1.79,Hits@20
20, 01,69,0.6206,10.92,10.27,2.49,Hits@30
20, 01,70,0.6153,4.02,3.31,1.07,Hits@10
20, 01,70,0.6153,7.53,6.82,1.51,Hits@20
20, 01,70,0.6153,10.14,9.32,2.03,Hits@30
20, 01,71,0.6184,4.88,4.14,0.90,Hits@10
20, 01,71,0.6184,8.10,7.45,1.31,Hits@20
20, 01,71,0.6184,10.11,9.46,1.65,Hits@30
20, 01,72,0.6135,3.14,2.21,0.70,Hits@10
20, 01,72,0.6135,7.27,6.22,1.11,Hits@20
20, 01,72,0.6135,8.76,7.81,1.44,Hits@30
20, 01,73,0.6158,3.31,2.50,0.60,Hits@10
20, 01,73,0.6158,7.26,6.36,0.93,Hits@20
20, 01,73,0.6158,8.57,7.76,1.15,Hits@30
20, 01,74,0.6135,4.65,3.85,0.80,Hits@10
20, 01,74,0.6135,8.04,7.32,1.18,Hits@20
20, 01,74,0.6135,10.00,9.19,1.72,Hits@30
20, 01,75,0.6124,5.44,4.74,1.11,Hits@10
20, 01,75,0.6124,8.77,8.19,1.28,Hits@20
20, 01,75,0.6124,10.86,10.30,2.00,Hits@30
20, 01,76,0.6088,5.37,4.47,0.98,Hits@10
20, 01,76,0.6088,8.41,7.60,1.30,Hits@20
20, 01,76,0.6088,10.27,9.46,1.69,Hits@30
20, 01,77,0.6112,4.28,3.16,0.74,Hits@10
20, 01,77,0.6112,6.84,5.82,0.96,Hits@20
20, 01,77,0.6112,8.95,7.95,1.43,Hits@30
20, 01,78,0.6049,5.89,5.04,1.00,Hits@10
20, 01,78,0.6049,8.55,7.76,1.39,Hits@20
20, 01,78,0.6049,10.70,9.97,1.89,Hits@30
20, 01,79,0.6061,6.10,5.29,1.07,Hits@10
20, 01,79,0.6061,8.25,7.54,1.56,Hits@20
20, 01,79,0.6061,10.67,10.01,2.14,Hits@30
20, 01,80,0.6031,6.54,5.59,1.15,Hits@10
20, 01,80,0.6031,8.36,7.49,1.86,Hits@20
20, 01,80,0.6031,9.14,8.28,2.49,Hits@30
20, 01,81,0.6021,5.54,4.44,1.69,Hits@10
20, 01,81,0.6021,7.05,5.92,2.66,Hits@20
20, 01,81,0.6021,8.77,7.72,3.89,Hits@30
20, 01,82,0.6017,7.97,7.12,1.91,Hits@10
20, 01,82,0.6017,9.23,8.49,2.61,Hits@20
20, 01,82,0.6017,10.23,9.51,3.46,Hits@30
20, 01,83,0.5999,7.77,6.94,2.28,Hits@10
